Month,donut,doughnut
2004-01,30,9
2004-02,26,9
2004-03,25,8
2004-04,34,8
2004-05,28,9
2004-06,26,9
2004-07,27,9
2004-08,28,9
2004-09,25,7
2004-10,27,8
2004-11,26,9
2004-12,23,8
2005-01,26,9
2005-02,24,9
2005-03,23,8
2005-04,25,8
2005-05,22,7
2005-06,23,7
2005-07,24,7
2005-08,24,7
2005-09,23,7
2005-10,22,8
2005-11,22,7
2005-12,22,7
2006-01,22,7
2006-02,23,8
2006-03,23,8
2006-04,21,7
2006-05,22,7
2006-06,23,8
2006-07,23,6
2006-08,21,7
2006-09,23,7
2006-10,23,8
2006-11,21,7
2006-12,22,7
2007-01,24,8
2007-02,24,8
2007-03,22,7
2007-04,23,7
2007-05,22,7
2007-06,25,8
2007-07,26,8
2007-08,26,7
2007-09,23,7
2007-10,24,8
2007-11,24,7
2007-12,24,8
2008-01,24,7
2008-02,25,8
2008-03,23,7
2008-04,23,7
2008-05,25,8
2008-06,25,8
2008-07,25,8
2008-08,24,7
2008-09,23,7
2008-10,24,8
2008-11,23,8
2008-12,24,7
2009-01,24,7
2009-02,24,7
2009-03,25,7
2009-04,26,7
2009-05,25,8
2009-06,31,10
2009-07,28,7
2009-08,28,8
2009-09,28,8
2009-10,34,8
2009-11,27,7
2009-12,27,7
2010-01,28,8
2010-02,31,9
2010-03,30,8
2010-04,28,8
2010-05,29,8
2010-06,34,10
2010-07,32,8
2010-08,32,9
2010-09,31,8
2010-10,32,9
2010-11,31,9
2010-12,33,9
2011-01,31,9
2011-02,33,9
2011-03,35,10
2011-04,34,9
2011-05,31,9
2011-06,38,11
2011-07,35,9
2011-08,34,9
2011-09,34,9
2011-10,35,10
2011-11,34,9
2011-12,35,10
2012-01,35,10
2012-02,37,10
2012-03,36,9
2012-04,37,10
2012-05,38,10
2012-06,45,12
2012-07,39,10
2012-08,40,10
2012-09,43,11
2012-10,42,10
2012-11,38,9
2012-12,40,9
2013-01,41,10
2013-02,46,11
2013-03,43,10
2013-04,43,10
2013-05,44,10
2013-06,61,14
2013-07,49,11
2013-08,49,10
2013-09,47,10
2013-10,49,11
2013-11,47,10
2013-12,46,10
2014-01,48,11
2014-02,52,11
2014-03,51,11
2014-04,48,10
2014-05,52,10
2014-06,66,14
2014-07,54,11
2014-08,52,11
2014-09,51,11
2014-10,55,11
2014-11,54,11
2014-12,52,10
2015-01,52,12
2015-02,56,13
2015-03,56,12
2015-04,56,11
2015-05,56,12
2015-06,88,16
2015-07,86,14
2015-08,63,12
2015-09,60,12
2015-10,61,12
2015-11,61,11
2015-12,58,11
2016-01,59,12
2016-02,65,13
2016-03,63,13
2016-04,64,13
2016-05,67,14
2016-06,94,17
2016-07,69,13
2016-08,65,13
2016-09,69,13
2016-10,68,13
2016-11,63,12
2016-12,64,11
2017-01,66,12
2017-02,77,14
2017-03,74,14
2017-04,72,13
2017-05,72,13
2017-06,100,16
2017-07,76,14
2017-08,74,14
2017-09,72,13
2017-10,72,13
2017-11,67,12
2017-12,66,12
2018-01,63,11
